graphs:
num_nodes_min_max_tr = (16, 33)
num_nodes_min_max_ge = (16, 33) --> permutations of tr

results:
iteration number	elapsed seconds	training loss	test/generalization loss	training fraction mse	training fraction examples solved correctly	test/generalization mse	test/generalization fraction examples solved correctly
#	T	Ltr	Lge	Ctr	Str	Cge	Sge
0	7.528030157089233	0.6072842836380006	0.5577529668807983	0.8711215485340165	0.0	0.6366353543979505	0.0
5	12.075753927230835	0.22346043884754183	0.18937838077545166	0.9458476593493784	0.0	0.9457815392753239	0.0
12	17.613752365112305	0.16654623299837112	0.1519438475370407	0.9388507718696398	0.0	0.9388507718696398	0.0
18	23.403047800064087	0.12682069167494775	0.12282902002334595	0.941720971563981	0.0	0.941720971563981	0.0
24	28.443971395492554	0.10280006229877472	0.09175891429185867	0.9382309339482787	0.0	0.9383132927030143	0.0
31	34.038700342178345	0.06849910989403725	0.06373479217290878	0.9699855930846807	0.0	0.9815911637586041	0.0
38	39.71412992477417	0.053013702109456065	0.04944610223174095	0.9995889172079256	0.875	0.9995889172079256	0.90625
45	44.95846700668335	0.043627647683024406	0.04044800624251366	1.0	1.0	1.0	1.0
52	50.41398048400879	0.035387317091226576	0.03325216472148895	1.0	1.0	1.0	1.0
59	56.034533977508545	0.031131109222769737	0.029625611379742622	1.0	1.0	0.9999220029638873	0.96875
66	61.47007083892822	0.02712777890264988	0.025965798646211624	1.0	1.0	1.0	1.0
72	66.62688517570496	0.023593368567526342	0.022659141570329666	1.0	1.0	1.0	1.0
79	72.28122401237488	0.022242890484631062	0.021448692306876183	1.0	1.0	1.0	1.0
86	77.84925413131714	0.01999346911907196	0.01935679279267788	1.0	1.0	1.0	1.0
93	83.20067596435547	0.018047498166561128	0.017497513443231583	1.0	1.0	1.0	1.0
100	88.54372143745422	0.016593658924102785	0.016107099130749702	1.0	1.0	1.0	1.0
106	93.70034623146057	0.014598668273538352	0.014205449260771275	1.0	1.0	1.0	1.0
112	98.73139834403992	0.014234457910060883	0.013862679712474346	1.0	1.0	1.0	1.0
118	104.33351421356201	0.012925752345472575	0.012597249820828438	1.0	1.0	1.0	1.0
124	109.55167269706726	0.012422625813633204	0.01211991161108017	1.0	1.0	1.0	1.0
131	115.062908411026	0.011574724595993758	0.011309036985039711	1.0	1.0	1.0	1.0
137	120.13458895683289	0.010760204773396254	0.010527311824262142	1.0	1.0	1.0	1.0
144	125.57924604415894	0.010244264546781779	0.010027489624917507	1.0	1.0	1.0	1.0
151	131.102605342865	0.009700552467256785	0.009509779512882233	1.0	1.0	1.0	1.0
158	136.87662410736084	0.008396834041923285	0.008224736899137497	1.0	1.0	1.0	1.0
165	142.3363778591156	0.008381353411823512	0.008217865601181984	1.0	1.0	1.0	1.0
171	147.63157534599304	0.0077142507769167425	0.007573658600449562	1.0	1.0	1.0	1.0
177	153.06232476234436	0.007134078117087484	0.0070008751936256886	1.0	1.0	1.0	1.0
183	158.84893012046814	0.006964724091812969	0.006994244176894426	1.0	1.0	1.0	1.0
190	164.3232524394989	0.006688258005306125	0.006574773229658604	1.0	1.0	1.0	1.0
