SEED =  5
iteration number	elapsed seconds	training loss	training fraction nodes/edges labeled correctly	training fraction examples solved correctly	test loss	test fraction nodes/edges labeled correctly	test fraction examples solved correctly	test_perm loss	test_perm fraction nodes/edges labeled correctly	test_perm fraction examples solved correctly
#	T	Ltr	Ctr	Str	Lge	Cge	Sge	Lpe	Cpe	Spe
0	28.57447838783264	0.8251738280057908	0.9040590405904059	0.0	0.5097338408231735	0.9675525152854288	0.0	0.5359701216220856	0.9645256976814577	0.0
1	48.59065532684326	0.7773026064038278	0.8978919631093544	0.0	0.48647722601890564	0.9706782253952065	0.0	0.5062425285577774	0.9702320244773075	0.0
2	69.46669316291809	0.663538308441639	0.928042328042328	0.0	0.45520031452178955	0.9688040441665559	0.0	0.48862646520137787	0.9661434082745777	0.0
3	93.07935190200806	0.6218190848827363	0.924916573971079	0.0	0.3923462778329849	0.9696533682145193	0.0	0.43640539050102234	0.9669718770438195	0.0
4	116.42300009727478	0.6185715392231942	0.9151590767311292	0.0	0.3394021838903427	0.9755867362989996	0.0	0.387235552072525	0.9716856477694582	0.0
5	140.11376786231995	0.5657025650143623	0.922266139657444	0.0	0.31044283509254456	0.9756881022863262	0.01	0.3695806860923767	0.9703974302450085	0.0
6	166.46748185157776	0.455671326816082	0.9469135802469136	0.0	0.2716263458132744	0.9812277418965413	0.02	0.32223477959632874	0.9751916460433392	0.0
7	193.1637716293335	0.4026432648301125	0.9537142857142857	0.0625	0.25127214938402176	0.9853440684362813	0.08	0.30871693789958954	0.9734557806013335	0.0
8	220.78433084487915	0.4334757909178734	0.9499683343888538	0.03125	0.2364867776632309	0.9881585612968592	0.12	0.31040002405643463	0.9705547112462006	0.0
9	248.4396369457245	0.41833549439907075	0.9644128113879004	0.21875	0.21061235666275024	0.9909721313620307	0.22	0.2862282618880272	0.9730472327620044	0.0
10	280.41827416419983	0.32675523906946186	0.9804161566707467	0.34375	0.20230525732040405	0.9932148017842558	0.2	0.3061845451593399	0.9677074825658102	0.0
11	310.94377970695496	0.3242107301950455	0.9817324690630524	0.34375	0.19476957619190216	0.9950745386484534	0.48	0.2973681688308716	0.9666382084455244	0.0
12	344.00613713264465	0.28597270622849463	0.9861809045226131	0.5	0.1747940629720688	0.9953158705701078	0.51	0.2402125522494316	0.9777503852080123	0.02
13	378.4129102230072	0.2907743647694588	0.9915014164305949	0.6875	0.1661072000861168	0.9967733771985322	0.59	0.24510880559682846	0.9774136403897254	0.03
14	422.7539715766907	0.2712335780262947	0.9891891891891892	0.65625	0.16427940875291824	0.9974892632969937	0.69	0.25075817108154297	0.9779319458209448	0.04
15	472.82195234298706	0.25705533027648925	0.9964747356051704	0.875	0.15390204638242722	0.9990629099768851	0.88	0.23640497028827667	0.9804460548510027	0.07
16	527.547308921814	0.23143896982073786	0.9969586374695864	0.875	0.13993299007415771	0.9996806540205658	0.97	0.20245295017957687	0.9843520470077282	0.12
17	582.8234987258911	0.21321480050683023	0.9993909866017052	0.96875	0.13443514704704285	0.9994486560992419	0.95	0.19497094303369522	0.9858718125430738	0.15
18	639.0296242237091	0.20503965765237808	0.9993726474278545	0.96875	0.13020912557840347	0.9993165579372476	0.93	0.1947256550192833	0.985399192295744	0.08
19	696.8697693347931	0.18729088231921198	0.9993390614672836	0.96875	0.11603694781661034	0.9997338478940715	0.97	0.1854827031493187	0.9870250848359837	0.21
20	761.101131439209	0.1720779687166214	1.0	1.0	0.11093123257160187	0.9998211197901139	0.97	0.1817663498222828	0.987299505098086	0.1
21	821.7322556972504	0.1754100762307644	1.0	1.0	0.10572074353694916	0.9999353754685278	0.99	0.1858321987092495	0.9860411012020163	0.1
22	885.8267915248871	0.17273224443197252	0.9987492182614134	0.9375	0.10434926673769951	0.9998107494322483	0.97	0.19146209955215454	0.985301539237951	0.1
23	951.2479040622711	0.1623767301440239	1.0	1.0	0.09761489182710648	0.9998644251626898	0.98	0.1848367229104042	0.983324295010846	0.05
24	1019.8907654285431	0.15291271209716797	1.0	1.0	0.09260475262999535	1.0	1.0	0.18488818407058716	0.9837175148457953	0.07
25	1092.8732640743256	0.1289999820291996	1.0	1.0	0.08771543949842453	0.999941200682072	0.99	0.16851698979735374	0.9851825718821662	0.03

#############################################################################

SEED =  11
iteration number	elapsed seconds	training loss	training fraction nodes/edges labeled correctly	training fraction examples solved correctly	test loss	test fraction nodes/edges labeled correctly	test fraction examples solved correctly	test_perm loss	test_perm fraction nodes/edges labeled correctly	test_perm fraction examples solved correctly
#	T	Ltr	Ctr	Str	Lge	Cge	Sge	Lpe	Cpe	Spe
0	20.29259181022644	1.2946635127067567	0.7668010752688172	0.0	0.9425752460956573	0.9559324170974657	0.0	0.9669022560119629	0.9498802168705082	0.0
1	34.59186840057373	1.123717585206032	0.8595870206489675	0.0	0.9433201849460602	0.9607176581680831	0.0	0.9639929234981537	0.9538558388416746	0.0
